"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";"Characteristics:Назначение кожи";"Characteristics:Тип сырья";"Characteristics:Вид кожи";"Characteristics:Минимальный заказ";Characteristics:Цвет;Characteristics:Особенности;Characteristics:Сорт;"Characteristics:Размер шкур";"Characteristics:Толщина (мм)";"Characteristics:Страна производства";"Characteristics:Вид покрытия";"Characteristics:Тип молнии";"Characteristics:Вид соединения";"Characteristics:Цвет тесьмы";"Characteristics:Цвет металла";Characteristics:Длина;"Characteristics:Происхождение сырья";Characteristics:Диаметр;Weight;Length;Width;Height;Unit;Portion;Url
792742004422;;;;;"Дубленочный материал Кёрли ""Vintage Brown"" - фут2 - Оттенок коричневого";;;;13.00;;;"Единица измерения:фут2;Оттенок цвета:Оттенок коричневого #6e3b12";;lCzz40Y4bRl3cOLopIOR;673089609442;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/dublyonka/tproduct/673089609442-dublenochnii-material-kyorli-vintage-bro?editionuid=792742004422
309625921252;;;;"Фурнитура;Фурнитура / Молнии";"Молния YKK 75 см,чёрный глянец";;;"https://static.tildacdn.com/stor3439-6361-4137-a266-303736313233/21412402.jpg https://static.tildacdn.com/stor3530-3235-4730-b332-393564306630/56746392.jpg";;;;"product_options:[{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;9LAGCnt4MCgXklRCRGnr;;;;;1;;;;;;Япония;;8;разъемная,1замок;Черный;"Черный глянец";"75 см";;;0;0;0;0;PCE;1;https://ozelifkoja.ru/furnitura/tproduct/309625921252-molniya-ykk-75-smchyornii-glyanets
399056476462;;;;;"Молния YKK 75 см,чёрный глянец - Оттенок черного";;;;13.00;;;"Оттенок цвета:Оттенок черного #000000";;laD1u3iX5xRLPl4UXYjV;309625921252;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/furnitura/tproduct/309625921252-molniya-ykk-75-smchyornii-glyanets?editionuid=399056476462
919655081872;;;;"Фурнитура / Молнии;Фурнитура";"Молния YKK 18 см,тёмный никель";;;https://static.tildacdn.com/stor3066-3736-4432-b732-303336393639/21196993.jpg;;;;"product_options:[{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;xDjdpBpuJYmdlTYRDsnj;;;;;1;;;;;;Япония;;8;разъемная,1замок;Черный;"Тёмный никель";"18 см";;;0;0;0;0;PCE;1;https://ozelifkoja.ru/furnitura/tproduct/919655081872-molniya-ykk-18-smtyomnii-nikel
155733011032;;;;;"Молния YKK 18 см,тёмный никель - Оттенок черного";;;;6.00;;;"Оттенок цвета:Оттенок черного #000000";;gsfdsr9EiBujNu7a2hXP;919655081872;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/furnitura/tproduct/919655081872-molniya-ykk-18-smtyomnii-nikel?editionuid=155733011032
727999258642;;;;"Дубленочный;Дубленка / Керли;Новинки";"Дубленочный материал Кёрли ""Silky&amp;Taba""";;;https://static.tildacdn.com/stor3730-3732-4364-b037-653332366330/25601068.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;2fp7FF01fcLelYPXksLd;;Одежная;Овчина;Дубленка;;Оранжевый;;;"6-7 фут2";;;Кожа;;;;;;Испания;;0;0;0;0;FOT;1;https://ozelifkoja.ru/dublyonka/tproduct/727999258642-dublenochnii-material-kyorli-silkyamptab
340422094612;;;;;"Дубленочный материал Кёрли ""Silky&amp;Taba"" - фут2 - Оттенок оранжевого";;;;13.00;;;"Единица измерения:фут2;Оттенок цвета:Оттенок оранжевого #ff780a";;ImixeM3KNHYknUd90jIH;727999258642;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/dublyonka/tproduct/727999258642-dublenochnii-material-kyorli-silkyamptab?editionuid=340422094612
509373058332;;;;;"Дубленочный материал Кёрли ""Silky&amp;Taba"" - дм2 - Оттенок оранжевого";;;;1.40;;;"Единица измерения:дм2;Оттенок цвета:Оттенок оранжевого #ff780a";;ra46IpG9AfFPoGX2566D;727999258642;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/dublyonka/tproduct/727999258642-dublenochnii-material-kyorli-silkyamptab?editionuid=509373058332
717437155312;;;;"Дубленочный;Дубленка / Керли;Распродажа";"Дубленочный материал Кёрли ""Orange""";;;https://static.tildacdn.com/stor6665-3664-4562-a332-343734376534/97331737.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;r6Nmb4T3y1ipbxzUB06t;;Одежная;Овчина;Дубленка;;Оранжевый;;;"6-7 фут2";;;;;;;;;Италия;;0;0;0;0;FOT;1;https://ozelifkoja.ru/dublyonka/tproduct/717437155312-dublenochnii-material-kyorli-orange
982450891872;;;;;"Дубленочный материал Кёрли ""Orange"" - фут2 - Оттенок оранжевого";;;;7.00;;10;"Единица измерения:фут2;Оттенок цвета:Оттенок оранжевого #ff780a";;dM3eA690u7hiObCPHvfD;717437155312;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/dublyonka/tproduct/717437155312-dublenochnii-material-kyorli-orange?editionuid=982450891872
